Korean,English
아니,no
여름,summer
자라다,grow
회,episode
구체적,detailed
기회,opportunity
실시하다,Enforce
지구,earth
번째,th
소비자,consumer
싫다,hate
규모,Scale
기준,standard
말,word
반드시,certainly
셈,count
갖추다,possess
그러니까,therefore
받아들이다,accept
값,value
현장,site
건설,erection
꺼내다,take out
노동자,worker
동네,town
언제나,always
완전히,completely
자동차,automobile
전하다,impart
존재하다,Exist
개월,month
맞다,right
별로,not really
어린이,children
정하다,decide
한마디,one word
유지하다,maintain
이데올로기,Ideology
공부하다,study
대중,public
늘어나다,increase
닦다,To Wipe
만,only
말씀,words
괜찮다,Okay
눈물,tear
각종,various
빛,light
아니,no
피하다,avoid
거치다,pass through
나아가다,go forward
야,hey
지식,knowledge
현재,today
여전히,still
주인,master
발견하다,Discover
선,line
인류,humanity
특징,characteristic
드리다,give
선수,player
형식,form
마련하다,prepare
반,half
발표하다,announce
주제,subject
걸치다,cover
겪다,experience
관점,aspect
귀,ear
기본,basic
미터,Meter
사라지다,disappear
어떠하다,How
감정,emotion
기억,memory
놈,bloke
인기,popularity
배,ship
아파트,apartment
가끔,sometimes
구성,composition
술,alcohol
실제로,actually
짧다,short
고맙다,thanks
관리,management
그곳,there
달다,Sweet
보다,see
비롯하다,Stop
과연,indeed
들리다,hear
달리다,run
바쁘다,busy
이전,before
인정하다,recognize
자,ruler
중앙,center
나쁘다,bad
불구하다,Despite
시키다,make someone do
게임,game
국제,International
그룹,group
인생,life
전통,tradition
기르다,cultivate
잔,glass
조사하다,Investigate
커다랗다,Big
있다,there is
시인,poet
언제,when
외,except
평가,evaluation
내려오다,go down
위치,location
줄이다,reduce
가격,price
달라지다,to be different
비다,be empty
삼국,Three Kingdoms
손님,customer
원하다,want
통신,communication
확인하다,check
모임,class
수,number
아무,any
웃음,laugh
기계,machine
모양,shape
물질,matter
아나운서,announcer
뉴스,news
살아가다,Live
펴다,Spread
배,ship
수업,class
겨울,winter
종교,religion
층,floor
자연스럽다,natural
장,page
돌다,spin
식사,meal
안다,know
이해,understanding
잊다,forget
제시하다,Present
반,half
불과하다,Only
혹은,or
엄청나다,tremendous
편,side
텔레비전,television
파악하다,Seize
편,side
실천,implement
노력하다,try hard
보호,protect
씻다,wash
한편,Meanwhile
늦다,late
이웃,neighbor
편지,letter
공동,public
까닭,reason
방안,measures
센티미터,centimeter
팔,eight
분명하다,Obvious
분석,analyze
소녀,girl
지나가다,Pass by
차,car
상품,Goods
설명,explanation
훌륭하다,excellent
관계자,Officials
새로,New
세,count
이어지다,be connected
티브이,TV
봄,spring
종류,type
낮다,low
어깨,shoulder
지적하다,Point out
부부,married couple
오래,long time
요구,request
키우다,grow
눕다,lay down
발달하다,develop
발전하다,develop
여행,travel
죽음,death
고통,pain
등장하다,appear
공,ball
듯이,As if
어울리다,comport
오월,May
쉬다,rest
알리다,inform
차다,cold
과,class
멀리,far
빼다,remove
예정,expected
오빠,brother
즐겁다,fun
한계,Limit
흔히,Often
바탕,background
사월,April
싸우다,fight
언제,when
예쁘다,pretty
갈등,conflict
느껴지다,Feel
의지,will
전문,specialty
정확하다,Accurate
초기,Early
나중,later
등,etc.
맛있다,it's good
며칠,few days
신경,nerve
찾아오다,come to
미,mi
사용,use
시선,Sight
아무런,Any
언론,Press
투자,invest
지원,support
결정하다,decide
경영,management
목표,target
성장,growth
숲,forest
없어지다,Run out
작년,last year
내려가다,go down
떠오르다,fly
미치다,crazy
새벽,dawn
쓰레기,trash
얼른,hurry
임금,wage
피해,damage
한,one
무섭다,scary
직장,rectal
